gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_004269,24,11,4,24,25,9,13,23,20,20
FUN_004270,0,0,0,0,0,0,0,0,0,0
FUN_004271,0,0,0,0,0,0,0,0,0,0
FUN_004272,0,0,0,0,0,0,0,0,0,0
FUN_004273,0,0,0,0,0,0,0,0,0,0
FUN_004274,112,245,235,219,394,263,232,308,296,438
FUN_004275,3,0,0,9,0,10,0,10,23,0
FUN_004276,584,664,345,544,773,615,609,639,517,1009
FUN_004277,19,32,19,26,51,26,33,30,35,34
FUN_004278,13,0,9,0,8,6,4,9,6,9
FUN_004279,0,5,0,0,0,13,0,0,0,0
FUN_004280,252,291,211,239,416,294,248,396,293,464
FUN_004281,230,291,298,335,605,448,307,626,471,580
FUN_004282,0,0,0,5,17,22,16,29,20,21
FUN_004283,22,44,16,14,46,40,38,21,31,51
FUN_004284,31,30,20,28,85,64,37,64,60,71
FUN_004285,0,0,0,0,0,0,0,0,0,0
FUN_004286,685,946,813,808,1184,969,824,1112,986,1460
FUN_004287,287,303,313,327,532,406,332,590,423,592
FUN_004288,3408,5099,2746,3142,6140,4404,3738,5265,4428,6518
FUN_004289,1475,2158,2768,2128,1879,1648,1713,1739,1516,1949
FUN_004290,357,614,380,543,715,527,498,523,515,737
FUN_004291,95,128,173,137,218,146,116,207,139,241
FUN_004292,1571,2421,1638,1816,3388,1870,1778,1730,1462,3115
FUN_004293,12,27,16,17,0,0,23,0,0,10
FUN_004294,1063,1632,1309,1283,1947,1546,1592,1654,1580,2199
FUN_004295,115,168,161,178,360,250,155,350,259,366
FUN_004296,28,119,81,136,111,114,82,116,74,103
FUN_004297,35,114,94,199,156,122,129,208,116,243
FUN_004298,833,578,514,711,140,319,1064,9,14,193
FUN_004299,200,237,220,235,658,569,346,651,540,843
FUN_004300,265,363,270,277,578,403,330,505,356,605
FUN_004301,403,672,648,565,778,629,551,608,520,753
FUN_004302,163,189,129,146,304,267,227,313,288,394
FUN_004303,37,58,38,20,55,29,0,26,29,39
FUN_004304,99,129,145,96,228,149,125,241,152,226
FUN_004305,7,20,5,15,3,13,10,1,0,9
FUN_004306,503,926,554,621,1272,1049,854,1130,1033,1376
FUN_004307,285,498,505,555,686,527,378,613,459,676
FUN_004308,8293,15780,7424,9918,14738,10735,10575,12209,11895,15691
FUN_004309,60,106,134,99,149,113,101,173,122,219
FUN_004310,0,0,0,0,3,3,0,6,0,0
FUN_004311,30,51,32,35,58,36,46,50,37,69
FUN_004312,450,598,278,398,1031,860,822,1103,999,1331
FUN_004313,1391,1818,1349,1392,1795,1418,1525,1701,1597,2326
FUN_004314,160,225,189,175,466,267,168,336,300,475
FUN_004315,590,832,519,668,1230,1042,880,1123,1114,1334
