"","logFC","logCPM","PValue","FDR"
"FUN_010630",1.66465969900256,2.25173211456809,7.76287826644264e-06,0.000185445289916999
"FUN_009099",1.67693941609476,3.84490886726858,1.76258024411454e-08,9.84365338360049e-07
"FUN_001008",1.67812393356069,6.48184936969241,3.28530319935694e-05,0.000623528670362452
"FUN_000058",1.67852401413865,3.45319356845575,0.000205513475914643,0.0029801256757412
"FUN_015001",1.68973234778585,2.36238598437995,1.92104516562908e-05,0.000396464389925272
"FUN_011365",1.69069180884508,2.0781237861724,4.00087247464089e-06,0.00010599106230495
"FUN_007928",1.69182065889201,3.49010018187633,7.53711259485894e-09,4.7710669161565e-07
"FUN_000239",1.70108787647528,1.92841454036592,5.96281050730097e-06,0.000149124388042651
"FUN_006297",1.71378603989429,8.58521817880116,1.65307476604553e-05,0.000349449858791542
"FUN_014972",1.71520706032966,1.90342513663815,1.83300462225208e-05,0.000381149678118857
"FUN_005693",1.71788987811588,4.42892271236547,1.66106768356795e-05,0.000349805911729524
"FUN_005926",1.72323144830378,3.10973847443016,0.000168160136372667,0.00250879853232161
"FUN_002290",1.73156556308965,4.71538759214337,5.4502437527912e-06,0.000138612276119063
"FUN_009066",1.73157324499246,1.61111181053035,1.33661367942959e-05,0.000294607476462007
"FUN_012169",1.73540236327118,5.28193744859721,3.08922847611222e-09,2.17310791228132e-07
"FUN_009386",1.73709077957048,11.308155606001,2.2697006136243e-06,6.52529058153448e-05
"FUN_004164",1.73824744576653,3.59434605701122,2.34491382581597e-06,6.71815779108558e-05
"FUN_011892",1.75518188795421,4.92979344502101,8.27567244049752e-10,6.77253173831013e-08
"FUN_009615",1.75656434369036,2.17528338470569,4.9636969603834e-06,0.000127216859615656
"FUN_013025",1.75731296656643,8.7717291940014,5.75726779742257e-07,2.01638546523713e-05
"FUN_007113",1.76049234840684,-0.344774430234728,0.00226291000332467,0.0233138885988751
"FUN_009531",1.76263551749585,2.12183695261683,0.000183167110354402,0.00269687772318447
"FUN_012046",1.76752152474173,3.14981841892727,1.91692998466171e-06,5.66883176680548e-05
"FUN_004725",1.77815670026787,2.17835798757016,1.69546932731331e-07,6.85276367966171e-06
"FUN_011129",1.78286787719847,4.51645006276954,0.000820389353050911,0.00984884269810066
"FUN_011444",1.79067836006565,0.752623147184641,5.86011187308459e-05,0.00101651111620106
"FUN_015521",1.79107306716858,-0.138681266443884,0.00160956703705569,0.0174248544136003
"FUN_007025",1.79769094461179,3.15486382824881,6.63712188146262e-05,0.00112878870187715
"FUN_015790",1.79802131531617,2.42602124258359,3.09796743121512e-05,0.000596882279783416
"FUN_008645",1.79865838863822,2.3827218747761,1.14202602927002e-05,0.00025720479958941
"FUN_006644",1.80688247631518,3.73013870518263,0.0011869985123359,0.0135419409298998
"FUN_010594",1.81287676789267,6.6095145695462,1.16790410739833e-07,5.01470722062383e-06
"FUN_000240",1.82497539278763,3.09461301898215,1.63110404097036e-08,9.14026471229866e-07
"FUN_008419",1.83075437186034,3.33957235754922,0.00486705733571188,0.0431406567381518
"FUN_004172",1.83179387303841,6.7696263396485,4.27325787684636e-05,0.000773726461797888
"FUN_016176",1.83199503786882,4.81467196610631,8.18552371349701e-06,0.000193306989296884
"FUN_001754",1.83265980846228,3.84349572862869,4.4916635641302e-07,1.6037082155213e-05
"FUN_004215",1.83520570165338,2.6166246891345,2.38422216891046e-05,0.00047774032332435
"FUN_003336",1.8401907140729,-0.0031537570168486,0.00027207608720597,0.00383108159932018
"FUN_011631",1.84240251990225,10.0361221101769,0.000551329687156816,0.00697858427135477
"FUN_016188",1.84500828487235,0.488645033148096,5.23034165927915e-05,0.000918839298294832
"FUN_010631",1.84722850603965,1.86587955398179,1.07178145668184e-05,0.00024505697455612
"FUN_004167",1.84914071257573,5.72115195627349,9.5732478448438e-08,4.22014293661634e-06
"FUN_002096",1.85177336238903,7.42787191384662,8.97754553663941e-08,4.00021038453332e-06
"FUN_011130",1.85632093957774,2.78582360233606,1.60503181673234e-07,6.56752004019861e-06
"FUN_003551",1.8563241951667,2.11481343127018,0.00157792407977421,0.0171092956478185
"FUN_012022",1.85983975517708,3.19974588924713,1.18613553631689e-06,3.75632309403344e-05
"FUN_005910",1.86207508130949,1.34533503630625,0.000988290027461593,0.0115622239518525
"FUN_004011",1.86372298935336,0.447808234800012,0.00336662388800928,0.0319115020026842
"FUN_001850",1.8654708855281,7.53424849599895,1.7239692023687e-05,0.000360289947969114
"FUN_012813",1.87157381724434,6.95527818521303,0.000179683412084725,0.00265921798135416
"FUN_009617",1.8726712079979,4.29123755675074,6.01578664172316e-08,2.83324697932552e-06
"FUN_012893",1.87346795673552,2.91392203147913,0.00468888107920161,0.0417628734484277
"FUN_011133",1.8754433094149,5.96021104432548,0.00100191588001514,0.0117133461191869
"FUN_010807",1.87641386136148,3.81966994979887,2.47572973488571e-05,0.000491486350863663
"FUN_000602",1.88015259721768,1.76679087275236,1.3971719179872e-06,4.33333001430514e-05
"FUN_002747",1.88856144361204,5.04841982954286,1.09588380494842e-05,0.000249876623166929
"FUN_012142",1.89453889358549,5.09013391630059,6.32534144838327e-06,0.000156533262699437
"FUN_009348",1.89594734179127,5.77461436714359,7.18010635222439e-08,3.306248972385e-06
"FUN_002055",1.89865086664226,2.08412504865203,4.34968458034718e-05,0.000785843014182724
"FUN_009635",1.90193705926184,9.4842108291951,2.21909326299467e-06,6.41325712072812e-05
"FUN_004641",1.90520940038504,1.00894103268984,0.00310164198939719,0.030107600544172
"FUN_009966",1.90702677658909,0.847271790421327,0.000525866395339823,0.00670246521307835
"FUN_012302",1.90813927634377,4.67786337053647,2.7921195189174e-05,0.000546878291080848
"FUN_015641",1.91297248496435,2.84787588783991,2.01607673468761e-07,8.05018466210648e-06
"FUN_014082",1.92045479700912,5.63178419181882,1.68447082644625e-07,6.82499687058404e-06
"FUN_014737",1.92928309637371,1.69667039897348,6.37904592481788e-07,2.19234944247743e-05
"FUN_011803",1.92984380147736,2.74044161639074,2.22124664498254e-07,8.80561829453391e-06
"FUN_016325",1.93170350282955,-1.09404685499184,0.00388616296797789,0.0359095360668767
"FUN_013033",1.93189084572249,3.6674908957942,9.46338382300969e-07,3.07375339516438e-05
"FUN_006411",1.94358046923053,5.37542029957591,0.00116357619339032,0.0133206911723929
"FUN_011240",1.9460173796869,2.06905408149078,1.93336899985507e-08,1.06535076455347e-06
"FUN_008046",1.94847721552989,9.66060197209386,4.24640138473477e-07,1.53269129456442e-05
"FUN_015892",1.95136550151709,1.81869211634764,2.08419438967809e-07,8.30212468813699e-06
"FUN_009024",1.95166875334101,3.19298412662445,2.83794493172348e-08,1.51825461703304e-06
"FUN_016444",1.95222455507892,1.13656469431091,9.62468077652445e-06,0.000221904599604917
"FUN_010995",1.95603195913943,3.90216335495118,8.89633135731743e-05,0.0014575347241607
"FUN_013879",1.95963324858962,5.97428288553848,2.50208870514023e-06,7.09468754454085e-05
"FUN_014716",1.96083808645455,4.68316344457255,0.000397689443269936,0.00526779181626227
"FUN_012224",1.96420264946471,1.27009851997472,0.000101077688141738,0.00163334825285539
"FUN_002437",1.96792920711371,5.15932085612503,1.46817243902633e-11,1.79780433996624e-09
"FUN_000344",1.96952370955581,4.25133369703181,1.3121713720869e-11,1.63094022195252e-09
"FUN_005171",1.97171028661382,5.41206270515657,8.47360680778646e-09,5.2073306371568e-07
"FUN_012016",1.97638278867179,3.08837502562266,1.14750600941515e-09,8.8642158138513e-08
"FUN_013042",1.97691111427158,5.41603825602078,3.3211761426557e-09,2.30682196698493e-07
"FUN_011248",1.97911094930417,4.04470737191933,3.9852972249229e-10,3.54198647447315e-08
"FUN_002748",1.98857353350467,1.49059304778383,0.000331376756050993,0.00452352531319485
"FUN_004837",1.99170101995336,5.18528220874747,2.9309311499112e-05,0.000570685781380237
"FUN_014569",1.99170746135178,3.33408924261326,0.000249861470430926,0.00354662086377441
"FUN_009349",1.99174820432774,7.22775308249782,2.94224154563078e-08,1.56897403196201e-06
"FUN_003623",1.99460201935793,1.24985016307044,4.06006002149899e-05,0.000739987345263504
"FUN_016319",1.99510963756424,-1.10583581101809,0.00305657541066474,0.0297575077230264
"FUN_011908",1.99645205992708,2.48745127935516,8.09461745236415e-09,5.04951400396346e-07
"FUN_010373",1.99743424997825,9.51619983038048,0.000653784365051027,0.00815707631574317
"FUN_014678",2.0001764479708,5.33423649388547,9.47017616130591e-09,5.73448652463546e-07
"FUN_000501",2.01701254499023,3.68194305912561,1.00173133908747e-07,4.38085205461771e-06
"FUN_011552",2.01970212461741,4.06803116513407,3.56902233423942e-09,2.468598669762e-07
"FUN_006403",2.0244935148908,6.2578812865429,0.000525544431551053,0.00670246521307835
"FUN_001192",2.02843170166649,3.48885949383818,2.95560293806293e-08,1.57103125945718e-06
"FUN_005427",2.03112120949852,1.71709670864284,1.41669528365865e-06,4.37745602507685e-05
"FUN_012974",2.03217084638495,2.12595623628899,7.39464859637861e-06,0.000178193784178914
"FUN_010950",2.04305986189765,7.82176362876341,2.78977548473338e-08,1.50220776997158e-06
"FUN_003338",2.04326946147842,5.66666772355048,1.34887382621275e-07,5.68832480130687e-06
"FUN_011131",2.04335362378578,0.33512024944642,0.00237094878165416,0.0242388090967996
"FUN_014227",2.04370710147195,3.22695192050414,4.13439144719745e-06,0.000108657591436599
"FUN_006425",2.05319153960475,5.8415098079727,0.00029862275354118,0.00414834683931869
"FUN_002856",2.056405684517,2.91587055960693,1.10258743898579e-06,3.51192157107399e-05
"FUN_007919",2.05746875715388,3.75852975521881,1.36027380416026e-11,1.67811091466965e-09
"FUN_009417",2.05901741803058,4.06223900825314,5.55079149409309e-08,2.64300797732351e-06
"FUN_005374",2.06014521277208,3.85642377359017,8.80442809841454e-09,5.39059262573669e-07
"FUN_003875",2.06074805388101,0.652986916641972,0.000246823390034709,0.00351139196270549
"FUN_006140",2.0644040206713,4.49229228350167,1.69763188441282e-10,1.59452003870616e-08
"FUN_012223",2.06476447163449,4.71597574836233,6.66441349697664e-06,0.000163456112045283
"FUN_002216",2.06497695254145,1.0941185801701,0.0040151258757961,0.0366707435650748
"FUN_003030",2.06551270371751,4.27315701745107,1.22452146135752e-10,1.19778486850302e-08
"FUN_006281",2.07070087540891,3.51024880044844,3.84024769982155e-09,2.62793435105175e-07
"FUN_004623",2.07109188460793,-1.43049066034823,0.00452563468833103,0.04054919622374
"FUN_006481",2.07319400401739,2.15538226643055,9.88312139237832e-07,3.17855797154487e-05
"FUN_012847",2.07375948087379,3.80172121461028,1.47041422718891e-07,6.07685439741495e-06
"FUN_002002",2.07430693316552,2.59941192677017,1.35357411346794e-05,0.000296763046017752
"FUN_003838",2.07926278316461,2.46399020463984,1.48823741352221e-05,0.000321538967434863
"FUN_012303",2.07994613214041,5.35209776017908,6.81742755576595e-07,2.31592394147146e-05
"FUN_012964",2.08276158086117,-0.167225577871365,0.000953322448628459,0.011192736788549
"FUN_001239",2.08607797200707,1.30839278421336,9.46116190983574e-06,0.000218439200462981
"FUN_008676",2.08787120706933,2.36191092171773,1.04467090766143e-07,4.55658437323249e-06
"FUN_007691",2.08926404339547,7.71317009166517,3.77629374699489e-08,1.92079729020223e-06
"FUN_005278",2.09673677708748,1.58988881468385,1.50062246012596e-06,4.61092748853945e-05
"FUN_007970",2.10383418826394,1.16286574970801,5.06961672645683e-08,2.44331877857312e-06
