gene_id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
FUN_008307,0,20,14,14,0,0,8,5,8,10
FUN_008308,85,176,179,161,312,297,160,241,194,331
FUN_008309,319,413,324,360,607,447,405,630,478,624
FUN_008310,601,686,341,556,1078,795,725,973,890,1144
FUN_008311,57,64,70,40,86,68,53,65,67,69
FUN_008312,236,267,326,295,498,435,284,449,423,532
FUN_008313,40,56,29,75,92,122,76,93,82,97
FUN_008315,68,134,35,108,159,154,133,128,76,188
FUN_008316,187,381,163,242,428,451,385,489,387,415
FUN_008317,206,373,314,261,480,393,277,372,344,469
FUN_008318,1200,1648,2018,1466,2911,1845,1600,2442,1824,2906
FUN_008319,711,1036,758,780,1167,904,964,1178,1029,1346
FUN_008320,0,14,10,17,26,25,12,19,15,33
FUN_008321,30,30,48,8,40,85,38,22,37,17
FUN_008322,46,30,62,30,17,203,53,24,26,11
FUN_008323,9,9,20,0,5,44,11,8,10,13
FUN_008325,15,25,0,13,23,26,26,18,47,35
FUN_008326,234,391,327,297,492,387,444,417,440,610
FUN_008327,14,22,10,32,22,9,30,18,107,58
FUN_008328,157,256,216,130,592,391,209,486,514,652
FUN_008329,21,33,49,13,52,55,28,63,52,68
FUN_008330,12,23,21,17,26,23,20,43,30,33
FUN_008335,2454,3580,1827,2450,5932,4497,3118,6690,3975,6873
FUN_008338,87,196,194,147,1411,294,101,1757,496,904
FUN_008339,5,9,9,11,19,22,12,22,17,33
FUN_008342,17,14,15,12,22,21,16,25,5,7
FUN_008343,142,187,68,66,734,226,67,328,217,398
FUN_008344,42,38,71,46,100,70,63,76,61,105
FUN_008345,5,6,5,6,14,9,8,10,8,13
FUN_008346,1353,1720,1292,1678,2998,2033,1917,3019,2160,2573
FUN_008347,102,128,148,116,258,214,155,216,235,288
FUN_008348,675,1050,895,616,894,867,900,713,838,967
FUN_008349,2620,2824,2352,2420,6651,5378,3732,6336,5101,6291
FUN_008350,501,677,186,368,747,782,809,998,911,1070
FUN_008351,592,1025,1286,1265,1061,1042,800,1019,853,1154
FUN_008352,5846,8988,5660,7119,12483,10527,8704,12379,9764,13072
FUN_008353,211,238,279,248,486,364,338,508,492,653
FUN_008354,274,421,179,270,938,429,372,927,861,722
FUN_008355,746,1074,1018,1065,1243,1068,1040,997,998,1318
FUN_008356,2479,3033,1776,2558,4859,3917,4063,4951,4393,6040
FUN_008357,167,382,208,142,375,403,235,491,419,574
FUN_008358,79,186,38,70,201,251,112,258,227,309
FUN_008359,1706,2209,1837,2253,3800,3365,2617,3883,2860,4394
FUN_008360,119,170,83,70,201,211,163,289,181,316
FUN_008361,230,277,156,210,466,364,333,441,344,498
FUN_008362,33150,41840,58178,48980,51323,44907,38734,47431,38472,48094
FUN_008363,43,85,82,76,154,100,79,130,119,170
FUN_008364,499,702,684,651,1077,923,699,989,869,1153
FUN_008365,234,175,78,156,288,207,211,206,198,312
FUN_008366,238,358,176,286,627,709,1043,732,533,853
FUN_008367,2436,4052,2801,2322,5886,5086,3938,5952,5265,7411
FUN_008369,924,1310,773,984,2715,2677,1795,2610,2864,2395
FUN_008370,1773,2125,2533,1950,3862,2959,2332,3956,3194,4170
FUN_008371,2838,4260,2291,2614,4012,3314,3548,3674,3396,4229
FUN_008372,72,106,83,73,114,72,107,95,86,125
FUN_008373,40,91,101,65,59,354,508,171,140,235
FUN_008374,39,95,55,54,148,148,72,160,169,176
FUN_008375,261,401,367,234,902,562,362,1096,557,964
FUN_008376,17,67,21,21,60,32,40,49,24,52
FUN_008377,18,20,0,18,38,9,39,34,14,46
FUN_008379,313,306,351,253,54,110,268,0,0,26
FUN_008380,244,395,378,323,574,427,298,480,484,525
FUN_008382,199,366,220,321,585,539,265,572,390,553
FUN_008383,8,9,10,10,77,83,29,79,95,105
FUN_008384,0,0,0,0,9,12,0,8,12,20
FUN_008385,1699,2213,2692,1901,7255,3204,1989,8074,4757,6162
FUN_008386,504,763,738,578,1084,796,678,927,766,1191
FUN_008387,2051,2597,2358,2479,5435,4153,3228,5460,3729,5284
FUN_008388,3,0,3,0,5,0,8,4,0,12
FUN_008389,557,773,534,598,1181,893,763,1353,972,1265
FUN_008390,4693,5179,5237,5057,5666,5803,5192,5176,3762,4857
FUN_008391,58,62,78,57,107,78,86,136,86,126
FUN_008392,139,174,144,157,338,211,189,323,248,294
FUN_008393,45,51,37,44,69,72,36,61,59,100
FUN_008394,238,384,402,311,627,523,355,547,465,608
FUN_008395,269,455,360,320,539,437,344,531,375,473
FUN_008397,58,70,73,60,134,113,100,126,139,155
FUN_008398,3,6,0,6,17,18,26,25,11,25
FUN_008399,593,752,480,660,1216,1050,977,1064,863,1356
FUN_008400,790,958,665,898,1776,1298,981,1839,1380,1815
FUN_008401,13,13,5,7,7,5,0,7,0,10
FUN_008402,4016,4300,874,941,4580,2150,2296,328,142,806
FUN_008403,4008,5811,3718,3781,9871,5101,5144,14327,8413,13761
FUN_008404,653,889,691,516,612,281,480,1076,781,2009
FUN_008411,43,110,71,62,89,52,38,112,74,130
FUN_008412,13,21,17,9,32,16,11,13,14,23
FUN_008413,607,702,396,511,918,728,655,692,664,959
FUN_008415,155,187,163,152,259,220,164,259,177,281
FUN_008416,99,120,117,172,189,141,100,192,143,209
FUN_008417,313,486,235,302,531,504,416,567,555,687
FUN_008418,870,1095,831,1007,2162,1742,1295,2279,1746,2260
FUN_008419,15,211,148,626,172,106,212,49,32,213
FUN_008420,107,129,165,145,278,191,185,382,323,349
FUN_008421,124,72,92,214,157,113,158,136,142,232
FUN_008422,232,268,199,228,615,516,307,521,437,630
FUN_008423,331,492,464,513,773,635,485,725,655,805
FUN_008424,488,738,489,539,1315,988,666,1092,964,1271
FUN_008426,116,152,182,147,494,336,287,517,309,576
