,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_008721,0,0,0,0,0,0,0,0,0,0
FUN_008720,106,203,94,76,187,216,133,186,258,307
FUN_008723,0,0,0,0,0,0,0,0,0,0
FUN_008722,535,593,371,488,922,688,521,854,826,982
FUN_008725,0,0,0,0,0,0,0,0,0,0
FUN_008724,173,212,297,253,303,228,223,272,237,353
FUN_008727,6,12,5,6,21,5,7,0,10,22
FUN_008726,76,77,87,61,58,76,73,67,36,62
FUN_013808,725,1169,915,769,1577,404,872,1514,907,1890
FUN_013809,391,500,348,403,564,457,450,504,457,777
FUN_000538,4,5,7,7,39,38,14,47,33,46
FUN_000539,0,0,0,0,0,0,0,0,0,0
FUN_014858,553,860,562,659,801,682,620,679,611,822
FUN_014859,14,24,20,10,16,10,8,24,21,19
FUN_014856,0,0,0,0,0,0,0,0,0,0
FUN_000535,16,21,5,23,51,38,62,56,62,73
FUN_013802,706,944,888,881,2333,1824,1162,2295,1914,2415
FUN_013803,341,610,627,489,1063,882,555,1033,1063,1328
FUN_013804,105,104,81,122,166,160,113,186,178,235
FUN_014853,0,3,0,0,4,3,0,0,0,3
FUN_013806,4,17,13,27,4,13,18,7,0,4
FUN_013807,193,370,259,139,293,176,138,334,179,279
FUN_000331,0,3,0,0,6,5,0,0,5,5
FUN_010579,22,43,36,32,75,44,37,58,47,70
FUN_010578,516,863,910,842,1503,998,877,1261,902,1476
FUN_010571,694,1031,842,765,1488,1217,796,1498,1135,1556
FUN_010570,0,0,11,10,0,10,7,0,7,0
FUN_010573,363,399,337,339,885,765,337,1015,648,1203
FUN_010572,120,113,44,24,64,34,64,17,16,34
FUN_010575,289,444,0,479,753,506,578,890,545,738
FUN_010574,363,411,362,508,703,480,503,761,641,698
FUN_010577,74,136,104,149,190,155,116,199,155,201
FUN_010576,0,8,5,20,306,1390,2273,1110,1075,1106
FUN_017031,7,38,21,53,0,0,16,0,0,0
FUN_017030,260,333,285,304,530,499,317,458,464,517
FUN_012041,325,397,274,237,1524,1156,832,1702,1071,2293
FUN_017032,2,2,1,0,0,0,1,2,0,7
FUN_017035,0,2,2,0,0,2,2,2,3,3
FUN_017034,0,0,0,0,0,0,0,0,0,0
FUN_017037,0,0,0,0,0,2,0,0,0,0
FUN_017036,13,5,14,4,16,22,17,17,18,26
FUN_017039,231,407,431,358,527,331,274,346,384,545
FUN_017038,29,38,38,15,55,36,33,50,47,47
FUN_012049,784,1051,892,900,136,303,541,92,76,215
FUN_012048,403,554,491,528,774,633,516,882,726,922
FUN_015891,839,1236,1134,1082,1250,932,948,1112,964,1354
FUN_015890,33,56,73,44,72,68,35,72,75,76
FUN_020949,7,46,20,21,24,13,17,13,24,34
FUN_020948,115,173,38,142,172,193,134,227,222,248
