,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_005446-T1,0,0,0,0,2,0,0,1,0,8
FUN_019291-T1,27,36,42,24,30,32,21,15,31,44
FUN_027064-T1,3,3,0,1,3,2,4,3,3,5
FUN_000631-T1,0,0,0,0,0,0,0,0,0,0
FUN_014643-T1,11,28,20,11,19,34,24,19,18,55
FUN_015559-T1,87,142,129,136,273,189,47,203,208,260
FUN_007107-T1,0,0,0,0,0,0,0,0,0,0
FUN_029337-T1,0,0,0,0,0,0,0,0,0,0
FUN_013809-T1,391,500,348,403,564,457,450,504,457,777
FUN_010582-T1,94,128,87,125,210,150,135,205,158,206
FUN_007594-T1,6,4,2,1,2,2,2,4,1,5
FUN_006964-T1,8,23,8,7,26,28,11,15,26,33
FUN_015297-T1,0,13,0,12,0,4,6,11,8,14
FUN_014818-T1,11,20,6,15,20,15,8,18,15,16
FUN_012901-T1,100,168,92,135,273,235,191,213,223,274
FUN_019842-T1,1160,1582,1465,1471,1843,1512,1306,1740,1377,2229
FUN_013584-T1,93,96,88,102,141,120,125,158,150,189
FUN_000792-T1,12,14,13,14,17,9,30,24,11,24
FUN_026572-T1,0,0,0,0,0,0,0,0,0,0
FUN_024448-T1,74,89,50,67,63,115,69,120,132,210
FUN_011353-T1,0,0,0,0,0,0,0,0,0,0
FUN_022270-T1,0,2,0,1,0,0,0,2,0,0
FUN_019645-T1,0,0,0,0,0,0,0,0,0,0
FUN_020342-T1,390,646,529,483,1065,890,594,917,768,1101
FUN_030298-T1,53,108,128,123,93,84,94,67,84,104
FUN_001040-T1,419,619,628,489,876,686,530,884,816,1078
FUN_027664-T1,0,3,0,0,10,14,5,23,7,17
FUN_000057-T1,0,0,0,0,58,16,0,20,27,50
FUN_012714-T1,0,0,0,0,0,0,0,3,1,4
FUN_022774-T1,165,239,218,239,337,243,192,309,258,352
FUN_012457-T1,0,0,0,0,0,0,0,0,0,0
FUN_005367-T1,178,189,231,190,251,159,185,207,227,267
FUN_026577-T1,2087,1369,1452,958,593,270,1929,6,17,1138
FUN_013758-T1,239,295,303,300,611,514,452,658,507,749
FUN_026197-T1,413,629,460,572,987,730,522,944,652,894
FUN_017499-T3,106,186,92,132,149,150,144,176,120,215
FUN_006186-T1,0,0,0,0,0,0,0,0,0,0
FUN_012063-T1,0,0,0,0,0,0,0,0,0,0
FUN_019303-T1,0,0,0,0,0,0,0,0,0,0
FUN_026298-T1,8,15,16,0,0,0,9,0,0,5
FUN_026298-T2,0,3,0,2,0,0,3,0,0,0
FUN_008665-T1,339,552,349,337,685,505,426,673,528,797
